titles | years | genres | certifcation | IMDBRatings | metaScores | votes | dataValues
Fast & Furious Presents: Hobbs & Shaw | 2019 | Action, Adventure, Thriller | PG-13 | 6.4 | 60 | 175909 | /title/tt6806448/
Jumanji: The Next Level | 2019 | Action, Adventure, Comedy | PG-13 | 6.6 | 58 | 198550 | /title/tt7975244/
Fighting with My Family | 2019 | Biography, Comedy, Drama | PG-13 | 7.1 | 68 | 69136 | /title/tt6513120/
Rampage | 2018 | Action, Adventure, Sci-Fi | PG-13 | 6.1 | 45 | 148506 | /title/tt2231461/
Skyscraper | 2018 | Action, Adventure, Thriller | PG-13 | 5.8 | 51 | 109936 | /title/tt5758778/
Jumanji: Welcome to the Jungle | 2017 | Action, Adventure, Comedy | PG-13 | 6.9 | 58 | 329622 | /title/tt2283362/
Baywatch | 2017 | Action, Comedy, Crime | R | 5.5 | 37 | 166197 | /title/tt1469304/
The Fate of the Furious | 2017 | Action, Adventure, Crime | PG-13 | 6.6 | 56 | 209658 | /title/tt4630562/
Moana | 2016 | Animation, Adventure, Comedy | PG | 7.6 | 81 | 282239 | /title/tt3521164/
Central Intelligence | 2016 | Action, Comedy, Crime | PG-13 | 6.3 | 52 | 163364 | /title/tt1489889/
Furious 7 | 2015 | Action, Adventure, Thriller | PG-13 | 7.1 | 67 | 364683 | /title/tt2820852/
San Andreas | 2015 | Action, Adventure, Thriller | PG-13 | 6.1 | 43 | 216862 | /title/tt2126355/
Hercules | 2014 | Action, Adventure, Fantasy | PG-13 | 6.0 | 47 | 147859 | /title/tt1267297/
Furious 6 | 2013 | Action, Adventure, Thriller | PG-13 | 7.0 | 61 | 373142 | /title/tt1905041/
G.I. Joe: Retaliation | 2013 | Action, Adventure, Sci-Fi | PG-13 | 5.8 | 41 | 174637 | /title/tt1583421/
Pain & Gain | 2013 | Action, Comedy, Crime | R | 6.4 | 45 | 203490 | /title/tt1980209/
Snitch | 2013 | Action, Drama, Thriller | PG-13 | 6.4 | 51 | 84082 | /title/tt0882977/
Empire State | 2013 | Action, Crime, Thriller | R | 5.2 | None | 20108 | /title/tt2171867/
Journey 2: The Mysterious Island | 2012 | Action, Adventure, Family | PG | 5.8 | 41 | 95341 | /title/tt1397514/
Fast Five | 2011 | Action, Adventure, Crime | PG-13 | 7.3 | 66 | 357490 | /title/tt1596343/
WWE The Rock: The Most Electrifying Man In Sports Entertainment Vol 1 | 2011 | None | Not Rated | 6.5 | None | 17 | /title/tt2234522/
WWE The Rock: The Most Electrifying Man In Sports Entertainment Vol 2 | 2011 | None | Not Rated | 5.7 | None | 12 | /title/tt2234508/
Faster | 2010 | Action, Crime, Drama | R | 6.4 | 44 | 102007 | /title/tt1433108/
Tooth Fairy | 2010 | Comedy, Family, Fantasy | PG | 5.0 | 36 | 43086 | /title/tt0808510/
Race to Witch Mountain | 2009 | Action, Adventure, Family | PG | 5.7 | 52 | 56605 | /title/tt1075417/
Planet 51 | 2009 | Animation, Adventure, Comedy | PG | 6.0 | 39 | 51662 | /title/tt0762125/
Get Smart | 2008 | Action, Adventure, Comedy | PG-13 | 6.5 | 54 | 206231 | /title/tt0425061/
The Game Plan | 2007 | Comedy, Family, Sport | PG | 6.1 | 44 | 60028 | /title/tt0492956/
Southland Tales | 2006 | Comedy, Drama, Mystery | R | 5.4 | 44 | 37491 | /title/tt0405336/
Gridiron Gang | 2006 | Biography, Crime, Drama | PG-13 | 6.9 | 52 | 57636 | /title/tt0421206/
Doom | 2005 | Action, Horror, Sci-Fi | R | 5.2 | 34 | 109025 | /title/tt0419706/
Be Cool | 2005 | Comedy, Crime, Music | PG-13 | 5.6 | 37 | 67619 | /title/tt0377471/
Walking Tall | 2004 | Action, Crime | PG-13 | 6.3 | 44 | 71617 | /title/tt0351977/
The Rundown | 2003 | Action, Adventure, Comedy | PG-13 | 6.7 | 59 | 102129 | /title/tt0327850/
The Scorpion King | 2002 | Action, Adventure, Fantasy | PG-13 | 5.5 | 45 | 131909 | /title/tt0277296/
